_id,vendorId,itemName,itemDescription,accountId,accountName,itemTotalAmount,is_synthetic
{'$oid': '6980328d239c80f07497b121'},fRM6BdhL99zWvq0B9HRF,Emily@Carousell Monthly fees,0126 Monthly fees,zoSgBm7fxh4UlgeAuA0y,617101 Customer Support - Others,22000.0,False
{'$oid': '6980328d239c80f07497b121'},fRM6BdhL99zWvq0B9HRF, Additional tickets in January 2026,Additional tickets in January 2026,zoSgBm7fxh4UlgeAuA0y,617101 Customer Support - Others,3035.4,False
{'$oid': '698993a14ec5be5478e8e60c'},mPL2AaRMpMwx0DildEHU,Dimas - Feb 2026,0226 Feb Cost for Dimas,QZtPyRpjxDCoGnkHo9Wc,614123 Employee On Record,2950.12,False
{'$oid': '698993a14ec5be5478e8e60c'},mPL2AaRMpMwx0DildEHU,Feb 2026 (Pro Sellers),0226 Danny and Bram Feb 2026 Staff Cost,QZtPyRpjxDCoGnkHo9Wc,614123 Employee On Record,4737.38,False
{'$oid': '698993a14ec5be5478e8e60c'},mPL2AaRMpMwx0DildEHU,Feb 2026 (Core Marketplace),"0226 Nayanda, Hatta, Zaenal and Darindra Feb 2026 Staff Cost",QZtPyRpjxDCoGnkHo9Wc,614123 Employee On Record,12277.85,False
{'$oid': '698997a34ec5be5478e936e2'},mPL2AaRMpMwx0DildEHU,0226 - CUS-02073 -Ad-hoc  GLIT-EX-2896 Danny Santoso Gift  ,0226 - CUS-02073 -Ad-hoc  GLIT-EX-2896 Danny Santoso Gift  ,LCyTHVEM4iOV6PbAAJaJ,614306 Other Employee Expenses,34.32,False
{'$oid': '69899b144ec5be5478e95d4b'},mPL2AaRMpMwx0DildEHU,0226 - CUS-02073 -Ad-hoc  AI tool reimbursement (Danny and Bram),0226 - CUS-02073 -Ad-hoc  AI tool reimbursement (Danny and Bram),C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,40.0,False
{'$oid': '695b668ba716594ee2e3ac42'},jdmr9pJ0WHqso4Wh3hCa,0126 Branch,0126 Branch,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,7083.33,False
{'$oid': '696de58a28a1438205b600ad'},f3GWuSdHZz1JCDFgYq7y,VCA for domain,VCA for domain (no accrual required),C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,100.0,False
{'$oid': '697862206ff7d08beec01300'},83VznVpU6nyp0edI0fiE,1225 Digitexx BPO Budget,1225 Digitexx BPO Budget,KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,69633.23,False
{'$oid': '697977fa37095fc1a8659934'},CZU8x9iibW6yfBz8IAh3,1226 - SERVICE MAINTENANCE CHARGE,0126 - SERVICE MAINTENANCE CHARGE,yVYh9rM5LJ2hMTCoWso8,619209 Others,92.23,False
{'$oid': '69770c971509b67b610c8f8d'},eS2SwDqn8goQVq0UkuLW,0124 - Tax- Transfer Pricing Study/ Refresher,0124 - Tax- Transfer Pricing Study/ Refresher,yZrjPwom9DZaws0lMRNG,617203 Tax Fee,2917.0,False
{'$oid': '69770c971509b67b610c8f8d'},eS2SwDqn8goQVq0UkuLW,0224 - Tax- Transfer Pricing Study/ Refresher,0224 - Tax- Transfer Pricing Study/ Refresher,yZrjPwom9DZaws0lMRNG,617203 Tax Fee,2917.0,False
{'$oid': '69770c971509b67b610c8f8d'},eS2SwDqn8goQVq0UkuLW,0324 - Tax- Transfer Pricing Study/ Refresher,0324 - Tax- Transfer Pricing Study/ Refresher,yZrjPwom9DZaws0lMRNG,617203 Tax Fee,2917.0,False
{'$oid': '69770c971509b67b610c8f8d'},eS2SwDqn8goQVq0UkuLW,0424 - Tax- Transfer Pricing Study/ Refresher,0424 - Tax- Transfer Pricing Study/ Refresher,yZrjPwom9DZaws0lMRNG,617203 Tax Fee,2106.6,False
{'$oid': '69718138e92be30efab360bc'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 09/01/06 Friday - 1pm to 4pm (3hrs extention) = (3 x $100) x 1.0 = $300,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 09/01/06 Friday - 1pm to 4pm (3hrs extention) = (3 x $100) x 1.0 = $300,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,300.0,False
{'$oid': '6981bd7d83888e7f458b5223'},mJiy3ymS7Yz5h2A1YsTt,0126 Editorial,0126 Editorial,KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,1800.0,False
{'$oid': '69804230239c80f07497b3ed'},EyCfJhgG7zzQ69Zyp0Nv,FLYER,"Luxury_Flyer
Size: A4 (210mm x 297mm)
Paper: Gloss Art Paper 128gsm
Print Colour: 4C (Both)
Folding Code 2Fa: Landscape
each design 2000set",46gT0Ab9FKwD2LHwpa4Q,612016 Collateral,1200.0,False
{'$oid': '69804230239c80f07497b3ed'},EyCfJhgG7zzQ69Zyp0Nv,FLYER,"Services_Flyer
Size: A4 (210mm x 297mm)
Paper: Gloss Art Paper 128gsm
Print Colour: 4C (Both)
Folding Code 2Fa: Landscape
each design 500set",46gT0Ab9FKwD2LHwpa4Q,612016 Collateral,1060.0,False
{'$oid': '69804230239c80f07497b3ed'},EyCfJhgG7zzQ69Zyp0Nv,FLYER,"Goods_Flyer
Size: A4 (210mm x 297mm)
Paper: Gloss Art Paper 128gsm
Print Colour: 4C (Both)
Folding Code 2Fa: Landscape
each design 300set",46gT0Ab9FKwD2LHwpa4Q,612016 Collateral,1800.0,False
{'$oid': '696f323fc1e9794ae68a6a46'},L0ylCmwzBrhx2FHqnIXe,0126 Equipment Rental,0126 Equipment Rental,yFhZwEaA6CkzsZ7lDVC6,619203 Supplies/Expenses,90.0,False
{'$oid': '696e0cb1de0f5b9c82788fff'},TJhyM9fAecaK11P2XfDf,0126 - EXPRESS WORLDWIDE DOC,0126 - EXPRESS WORLDWIDE DOC,MwsYHZPSrW5P9M2YdGS2,619518 Courier and postage,35.27,False
{'$oid': '696e0cb1de0f5b9c82788fff'},TJhyM9fAecaK11P2XfDf,0126 - DOMESTIC EXPRESS,0126 - DOMESTIC EXPRESS ,MwsYHZPSrW5P9M2YdGS2,619518 Courier and postage,43.0,False
{'$oid': '696f2be9c1e9794ae68a0414'},5A0T82G7m1UVNOaUxNkm,022026 - 052026 Sales Cloud - Enterprise Edition,022026 - 052026 Sales Cloud - Enterprise Edition,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,12753.0,False
{'$oid': '696f2be9c1e9794ae68a0414'},5A0T82G7m1UVNOaUxNkm,022026 - 052026 Sales & Service Cloud - Enterprise Edition (Emerging Market) (Sales),022026 - 052026 Sales & Service Cloud - Enterprise Edition (Emerging Market) (Sales),vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,10303.8,False
{'$oid': '696f2be9c1e9794ae68a0414'},5A0T82G7m1UVNOaUxNkm,022026 - 052026 Premier Success Plan (Support) - Salesforce Platform - Fee - FP,022026 - 052026 Premier Success Plan (Support) - Salesforce Platform - Fee - FP,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,1912.95,False
{'$oid': '696f2be9c1e9794ae68a0414'},5A0T82G7m1UVNOaUxNkm,022026 - 052026 Premier Success Plan (Support) - Salesforce Platform - Fee - FP,022026 - 052026 Premier Success Plan (Support) - Salesforce Platform - Fee - FP,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,1545.57,False
{'$oid': '695b8660a716594ee2f2f1a4'},A17M26ij1P8uGEnRFtP0,1225 SEM,1225 SEM,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,20540.73,False
{'$oid': '695b991ba716594ee2f3a558'},A17M26ij1P8uGEnRFtP0,1225 Furniture Demand Google Campaign,1225 Furniture Demand Google Campaign,M6oHc9JpSqxafJ6YTvMK,612002 Paid Search,3326.37,False
{'$oid': '696849c4945bf54b6d8188a2'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning)  Manpower Provisioning for 3 Support days per work week. Standby Hours: 3x6 Business Hours Monday : 10.00 am - 4.00 pm Tuesday : 10.00 am - 4.00 pm Thursday : 10.00 am - 4.00 pm,0126 A-ChieveMent Technology Lease (Manning)  Manpower Provisioning for 3 Support days per work week. Standby Hours: 3x6 Business Hours Monday : 10.00 am - 4.00 pm Tuesday : 10.00 am - 4.00 pm Thursday : 10.00 am - 4.00 pm,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,1800.0,False
{'$oid': '6982f62b83888e7f45902109'},A17M26ij1P8uGEnRFtP0,1225,1225 Looker Allocation,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,2892.52,False
{'$oid': '6982f62b83888e7f45902109'},A17M26ij1P8uGEnRFtP0,1225,1225 Looker SG,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,6350.88,False
{'$oid': '6982f71a83888e7f4590275d'},A17M26ij1P8uGEnRFtP0,1225 SEM,SEM,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,10569.19,False
{'$oid': '695b56b3a716594ee2e1303d'},bfN8jYCNYKQFk7yN2vvN,1225 SG Trade Desk_Media Fee/Platform Fee,1225 SG Trade Desk_Media Fee/Platform Fee,zZaeAsNwbZ5lMl2XSTHr,511606 Audience Extension,640.28,False
{'$oid': '695b574fa716594ee2e15f16'},bfN8jYCNYKQFk7yN2vvN,1225 SG Trade Desk_Media Fee/Platform Fee,1225 SG Trade Desk_Media Fee/Platform Fee,zZaeAsNwbZ5lMl2XSTHr,511606 Audience Extension,2397.56,False
{'$oid': '695b5e24a716594ee2e1e906'},A17M26ij1P8uGEnRFtP0,1225 GAM (SG),1225 GAM (SG),IbDOq9NsCcO8rSg7Uk1y,511301 Display COGS,2776.02,False
{'$oid': '695b5e24a716594ee2e1e906'},A17M26ij1P8uGEnRFtP0,1225 GAM (Chotot & Mudah),1225 GAM (Chotot & Mudah),w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,1157.78,False
{'$oid': '695b7d63a716594ee2eea6ac'},A17M26ij1P8uGEnRFtP0,1225 Google Cloud,1225 Google Cloud,5guubKjcCyFRa7RGvN77,611103 Cloud server - Google,246300.16,False
{'$oid': '6976e27571c58aa443c220ba'},VZTKO8qxnAZ6ZR8GUVXn,0126 Foursquare API Access ,0126 Foursquare API Access ,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,5000.0,False
{'$oid': '6976e72271c58aa443c270f2'},VtxikZ7HI6Jwqueemjch,CarousellMobile PR wire,CarousellMOBILE press release wire distribution,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,561.0,False
{'$oid': '69535caf6f64c426ea4fdf31'},f3GWuSdHZz1JCDFgYq7y,1225 VCA for domain - remall.hk - 1 Year/s (12/02/2026 - 11/02/2027) / remall.my - 1 Year/s (12/02/2026 - 11/02/2027) ,1225 VCA for domain - remall.hk - 1 Year/s (12/02/2026 - 11/02/2027) / remall.my - 1 Year/s (12/02/2026 - 11/02/2027) ,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,171.8,False
{'$oid': '6968a076945bf54b6d854f83'},CycdNXjWn8NVasRonRCh,0126 Project: Create a Connection between NetSuite and  PowerBI viaSuiteAnalytics Connect,0126 Project: Create a Connection between NetSuite and  PowerBI viaSuiteAnalytics Connect,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,2000.0,False
{'$oid': '698a8e284ec5be5478ed45b4'},YB1y7Bci9jJG6nftTZLe,0126 - 0326 Demand spike - Social [Jan 2026 - Mar 2026],0126 - 0326 Demand spike - Social [Jan 2026 - Mar 2026],KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,1000.0,False
{'$oid': '6989951d4ec5be5478e90d4b'},BZU3LCKujGeOxGXbNXgT,0126 Retainer,0126 - Content Creation Retainer,AdTlnz2egC6xX7zliII3,612031 Paid Content,5000.0,False
{'$oid': '69897e274ec5be5478e6fb7f'},zKG8lkrHOhbMTpWebpIZ,0226 Expensify,0226 Expensify,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,18.0,False
{'$oid': '6964752104b575c3f1bcb8e2'},ZDX0nccFh3TCRv7FNPFP,1225 Payroll Outsourcing Services (CRS SG),1225 Payroll Outsourcing Services (CRS SG),kjLRh3lgCntgM4y5wtg4,617207 Support Fee,2004.003945,False
{'$oid': '6964759504b575c3f1bcb92e'},ZDX0nccFh3TCRv7FNPFP,1225 - BPJS Social Security/BPJS Health/Article 21 Filing and Submission - Online,Per Entity | 2,kjLRh3lgCntgM4y5wtg4,617207 Support Fee,66.24,False
{'$oid': '6964759504b575c3f1bcb92e'},ZDX0nccFh3TCRv7FNPFP,1225 - Money Movement Services,Per Batch 1,kjLRh3lgCntgM4y5wtg4,617207 Support Fee,331.22,False
{'$oid': '6964759504b575c3f1bcb92e'},ZDX0nccFh3TCRv7FNPFP,1225 - Monthly Recurring Payroll Processing Minimum Fee,Per Entity | 2,kjLRh3lgCntgM4y5wtg4,617207 Support Fee,286.17,False
{'$oid': '696e0c76de0f5b9c82788fe8'},TJhyM9fAecaK11P2XfDf,0126 EXPRESS WORLDWIDE DOC,1126 - EXPRESS WORLDWIDE DOC,MwsYHZPSrW5P9M2YdGS2,619518 Courier and postage,35.27,False
{'$oid': '695f10aab98ce452fc726a91'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 02/01/06 Friday - 5pm to 8pm (3hrs extention) = (3 x $100) x 1.5 = $450,0126 A-ChieveMent Technology Lease (Manning)  0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 02/01/06 Friday - 5pm to 8pm (3hrs extention) = (3 x $100) x 1.5 = $450,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,450.0,False
{'$oid': '695f10e5b98ce452fc726aa4'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 05/01/06 Monday - 4pm to 6pm (2hrs extention) = (2 x $100) x 1.0 = $200,0126 A-ChieveMent Technology Lease (Manning)  0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 05/01/06 Monday - 4pm to 6pm (2hrs extention) = (2 x $100) x 1.0 = $200,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,200.0,False
{'$oid': '694df03ccad6b8611c85a3e7'},mA7SbDfZ6OBmKnzmcubV,1225-1226 Organization Full seats Organisation Full seats,1225-1226 Organization Full seats,sWG9pai5DiLXaKs6s86G,134004 Prepaid Subscription,7260.0,False
{'$oid': '694df03ccad6b8611c85a3e7'},mA7SbDfZ6OBmKnzmcubV,1225-1226 Organization Collab seats Organization Collab seats,1225-1226 Organization Collab seats,sWG9pai5DiLXaKs6s86G,134004 Prepaid Subscription,1440.0,False
{'$oid': '695cdaa9507d35e38a2dd8b8'},83VznVpU6nyp0edI0fiE,1125 Digitexx BPO Budget,1125 Digitexx BPO Budget,KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,68174.8488,False
{'$oid': '695cdee0507d35e38a2ddcd4'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 16/12/25 Tuesday - 10am to 7pm (3hrs extention) = (3 x $100) x 1.5 = $450,0126 A-ChieveMent Technology Lease (Manning)  Manpower Extension: 16/12/25 Tuesday - 10am to 7pm (3hrs extention) = (3 x $100) x 1.5 = $450,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,450.0,False
{'$oid': '695cdf1c507d35e38a2ddce9'},oU9KTCs4AvUgo60zr5kO,0126 A-ChieveMent Technology Lease (Manning) Manpower Extension: 11/12/25 Thursday - 10am to 6pm (2hrs extention) = (2 x $100) x 1.0 = $200,0126 A-ChieveMent Technology Lease (Manning) Manpower Extension: 11/12/25 Thursday - 10am to 6pm (2hrs extention) = (2 x $100) x 1.0 = $200,fXGi8OPFA10eXc1HxPze,617104 Temporary Staff,200.0,False
{'$oid': '695e3392f22c15d0277eb938'},Z2YZhryHo3lqZffx4i8S,1225 - Jedox HR Module Enhancement,1225 - Jedox HR Module Enhancement,p31NkJzH4JdkacApRr01,617205 Consultancy Expense,10000.0,False
{'$oid': '6965bae7182232b9ac79c4ee'},8Lm1RWoO9yUPS2Y1i8Ky,	0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,3750.0,False
{'$oid': '6965bae7182232b9ac79c4ee'},8Lm1RWoO9yUPS2Y1i8Ky,0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,0125 Domain: thecar0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027ousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,1362.5,False
{'$oid': '6965bae7182232b9ac79c4ee'},8Lm1RWoO9yUPS2Y1i8Ky,	0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,	0126-0127 Domain: thecarousell.com Google Meet Hardware Annual License Subscription Period: 20-Jan-2026 to 19-Jan-2027,w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,750.0,False
{'$oid': '696c7f7897a439b8df878dda'},uHkLezUjGFwqrMmaPuUG,1025-Product Catalog mngt & ops,1025-Product Catalog mngt & ops,KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,162.0,False
{'$oid': '696c7f7897a439b8df878dda'},uHkLezUjGFwqrMmaPuUG,1225-Product Catalog mngt & ops,1225-Product Catalog mngt & ops,KFoiJpwWCXBhah6T44dH,617103 Subcontractors/Outsource,90.0,False
{'$oid': '6972f88461004612ae03cee2'},PXigii8uDBTQoTJznc3G,0126-0127 Group-IB license renewal,0126-0127 Group-IB license renewal,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,28000.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1125 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1225 - Monthly Premium Plan Contract ,12-month Custom Premium Plan Contract,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0126 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0226 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0326 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0426 - Monthly Premium Plan Contract ,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0526 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0626 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0726 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0826 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0926 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1026 - Monthly Premium Plan Contract,12-month Custom Premium Plan Contract,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,409.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1125 - Whatsapp Monthly Fee Contract,Whatsapp monthly phone purchase,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1225 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0126 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0226 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0326 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0426 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0526 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0626 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0726 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0826 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,0926 - WhatsApp Monthly Fee Contract ,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
{'$oid': '69840318ff33e42db83de263'},uJjiPZ9Zhj8nPwpASydV,1026 - WhatsApp Monthly Fee Contract,Whatsapp monthly phone purchase,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,38.0,False
